date,config,arms,labels,folds,oof_macro_auc,worst_target,worst_target_auc,lb_public,runtime_min,notes
2026-09-15,public-0941-repro,"dino20+a5x5+radimagenet+coatnet",public-pilkwang,public-probe22,,,,,,"baseline to reproduce; fill in after first submission"
2026-09-15,tfidf-char35-logreg,text-only,v4_blend,random,0.9292,,,,,"leak probe: random split"
2026-09-15,tfidf-char35-logreg,text-only,v4_blend,report-grouped,0.9290,,,,,"leak probe: inflation +0.0002, clusters are boilerplate"
2026-09-17,tfidf-char35-logreg,text-only,v4_blend,scanner-grouped,0.8997,,,,,"scanner guard removes +0.0295 inflation vs random"
2026-09-18,public-0941-repro-v3,"dino20+a5x5+radimagenet+coatnet",public-v4_blend,public-probe22,,,,pending-submit,,"private repro of the public 0.941; green, submission.csv real (not fallback); awaiting Submit click"
